image;ground_truth;prediction;CER_formula;CER_score
test001_1.jpg;B9140BCD;BS5140BCD BS5140BCD;CER = (2 + 0 + 10) / 8;1.5
test001_2.jpg;B2407UZO;BUZO2407;CER = (0 + 3 + 3) / 8;0.75
test001_3.jpg;B2842PKM;B284Pkm;CER = (2 + 1 + 0) / 8;0.375
test002_1.jpg;BG1352AE;BCG1352AE;CER = (0 + 0 + 1) / 8;0.125
test003_1.jpg;B2634UZF;B'2634UZF;CER = (0 + 0 + 1) / 8;0.125
test003_2.jpg;B1995JVK;B1995JVK;CER = (0 + 0 + 0) / 8;0.0
test004_1.jpg;B9062VEH;30962;CER = (2 + 4 + 0) / 8;0.75
test005_1.jpg;DD8798KM;DHDDMKM;CER = (4 + 0 + 2) / 8;0.75
test006_1.jpg;T1329KC;T-1329KC;CER = (0 + 0 + 1) / 7;0.143
test007_1.jpg;AD8865EE;AD8865EE;CER = (0 + 0 + 0) / 8;0.0
test008_1.jpg;DK1157AAB;DK1157AAB01-26;CER = (0 + 0 + 5) / 9;0.556
test008_2.jpg;AA1997FE;AA-1997FE;CER = (0 + 0 + 1) / 8;0.125
test009_1.jpg;H8518NA;H-08518-NA;CER = (0 + 0 + 3) / 7;0.429
test009_2.jpg;K1649GB;1649GB;CER = (0 + 1 + 0) / 7;0.143
test010_1.jpg;B9416PCN;B94116CN;CER = (0 + 1 + 1) / 8;0.25
test010_2.jpg;H1147UY;H1147UY;CER = (0 + 0 + 0) / 7;0.0
test011_1.jpg;H1691IL;H1691IL;CER = (0 + 0 + 0) / 7;0.0
test011_2.jpg;B9374RI;B9371L8124;CER = (0 + 2 + 5) / 7;1.0
test011_3.jpg;D1204AIG;DAIGD;CER = (0 + 4 + 1) / 8;0.625
test012_1.jpg;E1887BA;EABA1887;CER = (0 + 2 + 3) / 7;0.714
test013_1.jpg;B1439UZP;BUZP;CER = (0 + 4 + 0) / 8;0.5
test013_2.jpg;B1128WOS;1.B1128WS;CER = (0 + 1 + 2) / 8;0.375
test014_1.jpg;B1388DFX;1388DFX;CER = (0 + 1 + 0) / 8;0.125
test015_1.jpg;AD1798BT;AD1798.BT;CER = (0 + 0 + 1) / 8;0.125
test016_1.jpg;E1517DQ;E15617DL-28;CER = (4 + 0 + 1) / 7;0.714
test017_1.jpg;AD8982FS;ADFS8992;CER = (1 + 2 + 2) / 8;0.625
test018_1.jpg;L7603UA;L7603-UA;CER = (0 + 0 + 1) / 7;0.143
test019_1.jpg;AD7HS;AD7HS;CER = (0 + 0 + 0) / 5;0.0
test019_2.jpg;B1959WYK;B1959WYK;CER = (0 + 0 + 0) / 8;0.0
test020_1.jpg;AG8634EK;AG-8694EK;CER = (1 + 0 + 1) / 8;0.25
test020_2.jpg;AD1329PY;ADL132802-28;CER = (6 + 0 + 1) / 8;0.875
test021_1.jpg;BA1709DW;BA1709DW;CER = (0 + 0 + 0) / 8;0.0
test021_2.jpg;W1236VZ;WVC1236;CER = (0 + 2 + 2) / 7;0.571
test022_1.jpg;W1825OZ;W1825OB-27;CER = (4 + 0 + 0) / 7;0.571
test022_2.jpg;L1202UE;L-1202E;CER = (0 + 1 + 1) / 7;0.286
test022_3.jpg;L3823IB;3823024;CER = (3 + 1 + 0) / 7;0.571
test023_1.jpg;B1730JLO;1730JLO;CER = (0 + 1 + 0) / 8;0.125
test024_1.jpg;B2964TRU;B2964TRU;CER = (0 + 0 + 0) / 8;0.0
test025_1.jpg;S5585LP;5685LP;CER = (1 + 1 + 0) / 7;0.286
test025_2.jpg;L2858RR;L285BRR;CER = (1 + 0 + 0) / 7;0.143
test025_3.jpg;W1185ZO;W1850270;CER = (4 + 1 + 0) / 7;0.714
test025_4.jpg;9840VU;98420;CER = (0 + 2 + 1) / 6;0.5
test026_1.jpg;N9652DF;9652DE;CER = (1 + 1 + 0) / 7;0.286
test026_2.jpg;L3836ZX;38836XY;CER = (0 + 2 + 2) / 7;0.571
test027_1.jpg;N1905IG;N1905IG;CER = (0 + 0 + 0) / 7;0.0
test027_2.jpg;B1109CLR;B1109CLR;CER = (0 + 0 + 0) / 8;0.0
test027_3.jpg;L1840AA;1840A;CER = (0 + 2 + 0) / 7;0.286
test028_1.jpg;L1438EO;1,44E+03;CER = (2 + 1 + 0) / 7;0.429
test028_2.jpg;L1436AAA;1436AA;CER = (0 + 2 + 0) / 8;0.25
test029_1.jpg;W1518WF;WW1516;CER = (3 + 0 + 1) / 7;0.571
test029_2.jpg;G1986N;GCN1986;CER = (0 + 1 + 2) / 6;0.5
test029_3.jpg;L1588OO;1588;CER = (0 + 3 + 0) / 7;0.429
test029_4.jpg;L1436AAA;1436AAA;CER = (0 + 1 + 0) / 8;0.125
test030_1.jpg;S8062NF;8062NF;CER = (0 + 1 + 0) / 7;0.143
test030_2.jpg;G1894TE;G1894TE03-26;CER = (0 + 0 + 5) / 7;0.714
test031_1.jpg;L1560JQ;1560QO;CER = (0 + 2 + 1) / 7;0.429
test031_2.jpg;L1568QO;L1568O02-28;CER = (0 + 1 + 5) / 7;0.857
test031_3.jpg;L1932AAZ;LAY1932;CER = (0 + 3 + 2) / 8;0.625
test032_1.jpg;B2754SKY;B-2734Sky;CER = (3 + 0 + 1) / 8;0.5
test032_2.jpg;W1192K;W1792K;CER = (1 + 0 + 0) / 6;0.167
test033_1.jpg;L4561VK;4561VK;CER = (0 + 1 + 0) / 7;0.143
test033_2.jpg;L2693GA;L2693CAUBRESA;CER = (1 + 0 + 6) / 7;1.0
test033_3.jpg;W9847G;0847G;CER = (2 + 0 + 0) / 6;0.333
test033_4.jpg;L1762ABJ;1762ABJ;CER = (0 + 1 + 0) / 8;0.125
test034_1.jpg;L1811SU;L1811SU;CER = (0 + 0 + 0) / 7;0.0
test034_2.jpg;W1167VO;WBV1167;CER = (0 + 2 + 2) / 7;0.571
test034_3.jpg;S6131OCF;S6131ACE;CER = (2 + 0 + 0) / 8;0.25
test034_4.jpg;L2570AAD;L2570AAD;CER = (0 + 0 + 0) / 8;0.0
test035_1.jpg;L9643NN;LNN-9634;CER = (0 + 3 + 4) / 7;1.0
test035_2.jpg;L5247GI;5267CL1;CER = (4 + 1 + 0) / 7;0.714
test035_3.jpg;L2498AAM;LAAM2698;CER = (0 + 4 + 4) / 8;1.0
test035_4.jpg;W1696YO;W1699YOA-R237;CER = (1 + 0 + 6) / 7;1.0
test036_1.jpg;B1231JJA;BJA0226123JA;CER = (0 + 2 + 6) / 8;1.0
test036_2.jpg;B1618UAE;B168UAE;CER = (0 + 1 + 0) / 8;0.125
test037_1.jpg;L1775VO;1775VO;CER = (0 + 1 + 0) / 7;0.143
test037_2.jpg;L300RX;300RX;CER = (0 + 1 + 0) / 6;0.167
test037_3.jpg;L1879VG;L1879VC;CER = (1 + 0 + 0) / 7;0.143
test038_1.jpg;D1523YCN;DYCNW;CER = (0 + 4 + 1) / 8;0.625
test038_2.jpg;L1877ACU;LAUL1877ACU;CER = (0 + 0 + 3) / 8;0.375
test039_1.jpg;L1069VK;1069YK;CER = (1 + 1 + 0) / 7;0.286
test040_1.jpg;S1595LL;S1595Ll;CER = (1 + 0 + 0) / 7;0.143
test041_1.jpg;B1231JJA;BJA021231;CER = (0 + 3 + 4) / 8;0.875
test042_1.jpg;AD1174SF;174S;CER = (0 + 4 + 0) / 8;0.5
test043_1.jpg;W1898YW;WY189802-28;CER = (5 + 0 + 1) / 7;0.857
test043_2.jpg;W1470PG;WWPG1470PG;CER = (0 + 0 + 3) / 7;0.429
test044_1.jpg;L1930KF;1930KF;CER = (0 + 1 + 0) / 7;0.143
test044_2.jpg;N1004HE;NHE;CER = (0 + 4 + 0) / 7;0.571
test045_1.jpg;S1347LJ;S1347LJ;CER = (0 + 0 + 0) / 7;0.0
test046_1.jpg;L1470ABK;L1470ABK;CER = (0 + 0 + 0) / 8;0.0
test046_2.jpg;L1265MX;L1265MX;CER = (0 + 0 + 0) / 7;0.0
test047_1.jpg;N1524SY;NNSY;CER = (4 + 0 + 0) / 7;0.571
